,job_title_short,salary_year_avg,salary_year_inflated
28,Data Scientist,109500.0,112785.0
77,Data Engineer,140000.0,144200.0
92,Data Engineer,120000.0,123600.0
100,Data Scientist,228222.0,235068.66
109,Data Analyst,89000.0,91670.0
116,Data Scientist,114000.0,117420.0
146,Data Engineer,129500.0,133385.0
180,Data Analyst,90250.0,92957.5
212,Data Scientist,157500.0,162225.0
257,Data Scientist,103128.0,106221.84
307,Data Engineer,185000.0,190550.0
339,Data Engineer,195000.0,200850.0
380,Data Engineer,97500.0,100425.0
388,Data Engineer,89000.0,91670.0
410,Data Analyst,133285.0,137283.55000000002
450,Data Scientist,157500.0,162225.0
495,Senior Data Engineer,168500.0,176925.0
520,Business Analyst,63000.0,64890.0
545,Data Engineer,80000.0,82400.0
571,Data Engineer,110000.0,113300.0
573,Senior Data Engineer,160000.0,168000.0
645,Business Analyst,125000.0,128750.0
654,Data Engineer,70000.0,72100.0
657,Senior Data Engineer,165000.0,173250.0
679,Software Engineer,317000.0,326510.0
704,Data Engineer,100000.0,103000.0
719,Data Engineer,111228.15625,114565.00093750001
726,Senior Data Engineer,173500.0,182175.0
733,Senior Data Engineer,160000.0,168000.0
762,Data Engineer,171000.0,176130.0
773,Data Engineer,180000.0,185400.0
813,Data Engineer,157500.0,162225.0
923,Data Engineer,135000.0,139050.0
982,Senior Data Analyst,85000.0,89250.0
988,Data Analyst,62623.0,64501.69
990,Senior Data Analyst,90000.0,94500.0
993,Data Engineer,125000.0,128750.0
1011,Senior Data Engineer,90000.0,94500.0
1042,Machine Learning Engineer,105300.0,108459.0
1106,Data Engineer,137500.0,141625.0
1107,Data Scientist,157500.0,162225.0
1148,Senior Data Engineer,155000.0,162750.0
1164,Data Engineer,190000.0,195700.0
1209,Machine Learning Engineer,79200.0,81576.0
1238,Senior Data Engineer,190000.0,199500.0
1257,Data Scientist,70700.0,72821.0
1261,Senior Data Engineer,180000.0,189000.0
1280,Software Engineer,233500.0,240505.0
1284,Data Engineer,102500.0,105575.0
1313,Data Engineer,79200.0,81576.0
1357,Data Engineer,198500.0,204455.0
1363,Data Scientist,56700.0,58401.0
1413,Data Analyst,71300.0,73439.0
1449,Machine Learning Engineer,185500.0,191065.0
1490,Data Analyst,43200.0,44496.0
1537,Senior Data Scientist,160000.0,168000.0
1543,Data Scientist,124400.0,128132.0
1555,Data Analyst,111175.0,114510.25
1580,Data Scientist,105700.0,108871.0
1587,Data Analyst,89111.75,91785.10250000001
1676,Data Engineer,160000.0,164800.0
1681,Data Analyst,111175.0,114510.25
1684,Data Analyst,120000.0,123600.0
1788,Data Engineer,200000.0,206000.0
1867,Data Analyst,101500.0,104545.0
1883,Data Engineer,175000.0,180250.0
2010,Data Engineer,140000.0,144200.0
2022,Data Engineer,156500.0,161195.0
2025,Data Engineer,82500.0,84975.0
2026,Senior Data Scientist,120000.0,126000.0
2043,Senior Data Scientist,112500.0,118125.0
